[   -8.438,   -1.814,    7.350,   66.716,   -4.091,    8.501,   -6.506,    7.807,]    #combo:  263 #block:  496 ratio:0.530
[   -8.659,   -9.886,    3.761,   41.180,   -3.586,    6.260,   -1.185,    0.740,]    #combo:   32 #block:  110 ratio:0.291
[   -5.472,   -2.559,   10.133,   31.644,   -1.025,    7.428,   -0.977,    4.397,]    #combo:  247 #block:  498 ratio:0.496
[   -7.489,   -0.424,    7.574,   66.116,   -2.593,    8.918,   -5.675,    5.424,]    #combo: 1137 #block: 1999 ratio:0.569
[   -8.630,   -9.788,    3.995,   41.180,   -8.307,    0.769,   -1.534,    5.824,]    #combo:   57 #block:  168 ratio:0.339
[   -5.472,   -6.756,    4.745,   64.492,   -3.173,    7.155,   -3.012,    4.296,]    #combo:    4 #block:   56 ratio:0.071
[   -9.035,   -4.979,    7.574,   66.116,   -2.460,    8.918,   -5.306,    1.979,]    #combo:  123 #block:  269 ratio:0.457
[   -6.923,   -1.814,    7.350,   46.280,  -10.317,    8.501,   -6.506,    7.486,]    #combo:  516 #block: 1015 ratio:0.508
[   -8.659,   -0.522,    8.451,   53.838,   -7.975,    0.999,   -1.649,    4.646,]    #combo:  229 #block:  570 ratio:0.402
[   -8.811,   -7.003,    7.574,   64.614,   -0.858,    1.603,   -3.010,    6.558,]    #combo:   90 #block:  180 ratio:0.500
[   -1.617,   -9.582,    6.683,   61.911,   -2.221,    4.891,   -2.456,    8.234,]    #combo:    2 #block:   48 ratio:0.042
[   -4.264,   -0.141,    8.285,   45.865,   -9.947,    4.085,   -6.153,    6.341,]    #combo: 1065 #block: 1999 ratio:0.533
[   -1.326,   -0.141,    8.282,   65.426,   -9.947,    4.085,   -1.484,    6.341,]    #combo:  280 #block:  561 ratio:0.499
[   -6.962,   -0.096,    0.585,   52.276,   -3.394,    4.043,   -2.430,    3.244,]    #combo: 1113 #block: 1999 ratio:0.557
[   -9.035,   -4.979,    9.737,   55.062,   -2.460,    6.130,   -0.977,    1.979,]    #combo:  685 #block: 1322 ratio:0.518
[   -8.811,   -0.702,    6.683,   64.614,   -0.858,    7.702,   -3.010,    6.558,]    #combo:  360 #block:  640 ratio:0.562
[   -8.845,   -2.702,   10.133,   31.644,   -0.858,    7.702,   -0.977,    6.558,]    #combo:  446 #block:  904 ratio:0.493
[   -8.659,   -9.886,    8.451,   53.838,   -7.975,    0.999,   -1.185,    0.740,]    #combo:  164 #block:  406 ratio:0.404
[   -8.438,   -9.886,    3.688,   42.684,   -3.586,    8.420,   -6.506,    0.740,]    #combo:  231 #block:  491 ratio:0.470
[   -5.472,   -2.702,    2.774,   32.210,   -1.097,    7.428,   -2.249,    4.397,]    #combo:   59 #block:  135 ratio:0.437
[   -6.800,   -0.096,    8.392,   33.138,   -2.001,    4.283,   -2.327,    4.138,]    #combo: 1107 #block: 1999 ratio:0.554
[   -7.685,   -0.297,    1.372,   48.072,   -0.035,    5.057,   -0.575,    6.510,]    #combo:  553 #block: 1217 ratio:0.454
[   -2.044,   -0.297,    8.151,   47.154,  -10.069,    8.316,   -6.491,    4.646,]    #combo:   51 #block:  153 ratio:0.333
[   -7.489,   -4.979,    9.737,   66.116,   -2.460,    6.130,   -0.977,    1.979,]    #combo:  127 #block:  267 ratio:0.476
[   -9.035,   -6.756,    2.476,   64.492,   -3.173,    7.155,   -1.770,    4.296,]    #combo:  112 #block:  258 ratio:0.434
[   -6.319,   -2.679,    2.788,   64.797,   -3.173,    7.155,   -2.742,    3.850,]    #combo:   41 #block:  135 ratio:0.304
[   -4.117,   -7.003,    7.574,   34.843,   -3.310,    1.603,   -3.615,    5.424,]    #combo:   13 #block:   72 ratio:0.181
[   -4.645,   -0.096,    8.392,   65.426,   -0.858,    4.283,   -1.484,    4.138,]    #combo:  857 #block: 1757 ratio:0.488
[   -7.685,   -0.096,    1.372,   48.072,   -0.035,    1.934,   -0.575,    4.138,]    #combo:  845 #block: 1803 ratio:0.469
[   -6.962,   -4.345,    0.113,   52.077,   -2.498,    1.401,   -6.042,    3.244,]    #combo:  146 #block:  316 ratio:0.462
[   -9.035,   -2.679,    2.476,   64.797,   -4.091,    6.130,   -1.756,    5.824,]    #combo:  274 #block:  545 ratio:0.503
[   -8.845,   -2.702,   10.133,   31.644,   -0.689,    7.702,   -2.249,    6.558,]    #combo:   28 #block:  101 ratio:0.277
[   -6.962,   -0.096,   -0.308,   32.400,   -3.394,    2.059,   -5.813,    3.244,]    #combo: 1106 #block: 1999 ratio:0.553
[   -4.655,   -9.582,    3.875,   57.047,   -2.221,    6.328,   -2.456,    7.049,]    #combo:   57 #block:  152 ratio:0.375
[   -4.264,   -1.814,    7.350,   66.716,   -4.091,    8.501,   -6.506,    7.807,]    #combo:   27 #block:  108 ratio:0.250
[   -4.264,   -0.141,    8.285,   65.426,   -9.947,    4.283,   -6.306,    4.138,]    #combo: 1122 #block: 1999 ratio:0.561
[   -4.117,   -7.003,    6.683,   34.843,   -0.858,    7.702,   -3.615,    6.558,]    #combo:   37 #block:  112 ratio:0.330
[   -6.771,   -0.096,    0.585,   32.961,   -3.394,    4.043,   -2.430,    0.972,]    #combo: 1062 #block: 1999 ratio:0.531
[   -9.035,   -2.679,    7.350,   66.716,   -4.091,    0.999,   -1.756,    1.979,]    #combo:   54 #block:  204 ratio:0.265
[   -8.659,   -1.814,    3.761,   41.578,   -4.091,    6.260,   -6.506,    7.807,]    #combo:  540 #block:  967 ratio:0.558
[   -9.035,   -3.048,    3.995,   66.314,   -4.091,    1.306,   -1.756,    5.463,]    #combo:    8 #block:   72 ratio:0.111
[   -6.771,   -0.319,    0.585,   46.280,  -10.317,    4.043,   -6.153,    0.972,]    #combo:  177 #block:  319 ratio:0.555
[   -6.771,   -2.269,    7.350,   46.280,   -3.758,    8.501,   -6.389,    7.807,]    #combo:  329 #block:  609 ratio:0.540
[   -1.617,   -0.104,    3.875,   61.911,   -0.450,    6.328,   -1.771,    8.586,]    #combo: 1112 #block: 1999 ratio:0.556
[   -7.685,   -0.297,    4.745,   48.072,  -10.069,    5.564,   -6.491,    4.646,]    #combo: 1034 #block: 1808 ratio:0.572
[   -7.661,   -0.096,    8.392,   44.968,   -8.474,    5.057,   -0.575,    4.138,]    #combo:  260 #block:  537 ratio:0.484
[   -9.035,   -2.679,    7.350,   66.716,   -4.091,    0.999,   -1.756,    5.824,]    #combo:  400 #block:  841 ratio:0.476
[   -1.617,   -0.297,    6.683,   61.911,   -0.450,    4.891,   -1.771,    8.586,]    #combo:  218 #block:  402 ratio:0.542
